respondent_id,q1_age_group,q1_age_numeric,q2_city,q3_occupation,q4_income_bracket,q4_income_numeric,q5_cups_per_day,q5_cups_numeric,q6_occ_early_morning,q6_occ_mid-morning_work,q6_occ_afternoon,q6_occ_evening,q6_occ_late_night,q7_flavour_pref,q8_ctx_at_home,q8_ctx_officecollege,q8_ctx_cafe,q8_ctx_rtd_onthego,q8_ctx_mixed,q9_tenure,q9_tenure_numeric,q10_entry_product,q11_cold_brew,q11_hot_brew_bags,q11_instant_coffee,q11_ground_coffee,q11_rtd_bottles,q11_subscription_box,q11_merchandise,q11_products_combined,n_categories_purchased,q12_purchase_freq,q12_freq_numeric,q13_ch_sleepy_owl_w,q13_ch_amazon,q13_ch_instagram,q13_ch_word_of_mout,q13_ch_offline_stor,q13_ch_influencer,q14_monthly_spend_inr,q15_share_of_wallet,q16_price_perception,q17_trig_discount,q17_trig_trusted_reco,q17_trig_curiosity,q17_trig_limited_edit,q17_trig_online_revie,q17_trig_sample,q17_trig_rarely_try_n,q18_gifting_behaviour,q19_subscription,q20_rec_responsiveness,q20_rec_numeric,q21_coffee_identity,q22_health_conscious,q22_health_numeric,brand_loyalty_score,is_single_category_buyer,is_enthusiast,is_gifter,is_subscriber,q23_crosssell_intent
SO_0018,22-25,23.5,Kolkata,Self-Employed/Freelancer,50k-1L,3.0,1-2 cups,1.5,1,0,1,0,0,No Preference,1,0,0,0,1,6-12 months,3,Ground Coffee,0,1,1,1,0,0,0,Hot Brew Bags|Instant Coffee|Ground Coffee,3,Monthly,3,1,1,0,1,0,1,4758.0,<25%,Fair Value,1,0,0,1,1,0,0,No And Wouldn't,Prefer One-Time,Occasionally,3.0,Daily Ritual,Somewhat Health-Conscious,3.0,5.5,0,0,0,0,Maybe
SO_0019,22-25,23.5,Mumbai,Student,50k-1L,3.0,1-2 cups,1.5,1,1,0,0,0,Smooth & Balanced,0,1,0,0,0,2+ years,5,RTD Bottles,1,1,0,1,1,0,0,Cold Brew|Hot Brew Bags|Ground Coffee|RTD Bottles,4,Weekly+,5,0,1,1,0,1,0,1186.0,25-50%,Slightly Overpriced,1,0,0,0,0,0,0,Yes - Once/Twice,Was Subscribed/Cancelled,Occasionally,3.0,Social Experience,Very Health-Conscious,5.0,7.6,0,1,1,0,Maybe
SO_0020,22-25,23.5,Hyderabad,Student,Below 25k,1.0,3-4 cups,3.5,1,1,1,0,1,Strong & Bold,1,1,1,0,1,<3 months,1,Ground Coffee,0,0,0,1,0,0,0,Ground Coffee,1,Rarely,1,0,0,0,1,0,0,332.0,51-75%,Excellent Value,1,1,0,0,0,0,0,Yes - Multiple Times,Prefer One-Time,Rarely,2.0,Purely Functional,Not Health-Conscious,1.0,3.8,1,0,1,0,Maybe
SO_0021,26-30,28.0,Other,Working Professional,25k-50k,2.0,1-2 cups,1.5,1,1,0,0,0,Smooth & Balanced,0,1,0,0,0,<3 months,1,Ground Coffee,0,0,0,1,0,0,0,Ground Coffee,1,Monthly,3,0,0,0,1,0,0,504.0,>75%,Fair Value,1,1,0,0,0,0,0,No And Wouldn't,Prefer One-Time,Rarely,2.0,Still Exploring,Neutral,2.0,5.7,1,0,0,0,Maybe
SO_0022,18-21,19.5,Bengaluru,Student,1L-2L,4.0,3-4 cups,3.5,1,1,1,0,0,Smooth & Balanced,1,1,0,0,0,3-6 months,2,Cold Brew,1,0,1,0,1,0,0,Cold Brew|Instant Coffee|RTD Bottles,3,Monthly,3,0,1,0,0,0,0,1154.0,25-50%,Slightly Overpriced,1,0,1,0,0,0,1,No And Wouldn't,Prefer One-Time,Rarely,2.0,Daily Ritual,Not Health-Conscious,1.0,5.3,0,0,0,0,Yes
SO_0023,22-25,23.5,Other,Working Professional,1L-2L,4.0,3-4 cups,3.5,0,0,1,1,0,Smooth & Balanced,1,0,1,0,0,<3 months,1,Cold Brew,1,1,1,0,1,1,0,Cold Brew|Hot Brew Bags|Instant Coffee|RTD Bottles|Subscription Box,5,Rarely,1,0,1,1,1,0,1,1103.0,51-75%,Fair Value,1,0,1,1,0,0,0,Yes - Once/Twice,Currently Subscribed,Almost Always,4.0,Daily Ritual,Neutral,2.0,4.7,0,1,1,1,Yes
SO_0024,22-25,23.5,Mumbai,Self-Employed/Freelancer,Below 25k,1.0,1-2 cups,1.5,1,0,1,0,0,Light & Fruity,0,0,1,0,0,1-2 years,4,Cold Brew,1,0,0,1,0,0,1,Cold Brew|Ground Coffee|Merchandise,3,Every 2-3 months,2,0,0,0,1,0,0,406.0,25-50%,Excellent Value,1,0,0,0,1,0,1,Yes - Once/Twice,Prefer One-Time,Occasionally,3.0,Daily Ritual,Somewhat Health-Conscious,3.0,6.0,0,0,1,0,No
SO_0025,22-25,23.5,Delhi/NCR,Working Professional,Below 25k,1.0,1-2 cups,1.5,0,1,0,0,0,Smooth & Balanced,1,1,1,0,0,<3 months,1,Instant Coffee,0,0,1,0,0,0,0,Instant Coffee,1,2-3x/month,4,1,1,1,0,0,1,507.0,>75%,Overpriced,0,1,1,0,0,0,1,Yes - Once/Twice,Prefer One-Time,Occasionally,1.0,Social Experience,Somewhat Health-Conscious,3.0,5.7,1,0,1,0,Maybe
SO_0026,26-30,28.0,Delhi/NCR,Self-Employed/Freelancer,25k-50k,2.0,1-2 cups,1.5,1,1,1,0,0,Smooth & Balanced,1,1,1,0,0,1-2 years,4,Cold Brew,1,1,0,0,0,0,0,Cold Brew|Hot Brew Bags,2,Rarely,1,0,0,1,0,1,0,564.0,51-75%,Excellent Value,0,1,0,1,1,0,0,No But Would,Prefer One-Time,Occasionally,3.0,Purely Functional,Very Health-Conscious,4.0,5.8,0,0,0,0,No
SO_0027,18-21,19.5,Chennai,Working Professional,1L-2L,4.0,3-4 cups,3.5,0,1,0,0,0,Strong & Bold,1,0,1,1,1,<3 months,1,Cold Brew,1,0,0,0,0,0,0,Cold Brew,1,Every 2-3 months,2,0,0,0,0,0,1,780.0,<25%,Excellent Value,0,1,0,0,1,1,0,No But Would,Prefer One-Time,Occasionally,3.0,Daily Ritual,Neutral,2.0,4.1,1,0,0,0,Maybe
SO_0028,22-25,23.5,Other,Student,Below 25k,1.0,1-2 cups,1.5,0,1,1,0,0,Strong & Bold,1,1,0,0,0,3-6 months,2,RTD Bottles,0,1,1,0,1,0,1,Hot Brew Bags|Instant Coffee|RTD Bottles|Merchandise,4,Rarely,1,0,0,0,1,1,0,488.0,25-50%,Fair Value,1,0,0,0,0,0,0,No But Would,Interested,Occasionally,3.0,Still Exploring,Not Health-Conscious,1.0,3.7,0,1,0,0,Yes
SO_0029,22-25,23.5,Delhi/NCR,Working Professional,50k-1L,3.0,1-2 cups,1.5,0,1,1,1,0,Strong & Bold,0,1,1,0,0,1-2 years,4,Instant Coffee,0,0,1,0,0,0,0,Instant Coffee,1,Weekly+,5,0,1,1,1,0,1,718.0,>75%,Excellent Value,1,1,0,0,1,0,0,No And Wouldn't,Interested,Almost Always,4.0,Daily Ritual,Neutral,2.0,9.5,1,0,0,0,No
SO_0030,18-21,19.5,Hyderabad,Working Professional,Below 25k,1.0,3-4 cups,3.5,0,1,1,0,0,Strong & Bold,0,0,0,0,1,2+ years,5,RTD Bottles,0,0,0,0,1,0,0,RTD Bottles,1,Rarely,1,0,0,0,1,0,1,253.0,>75%,Excellent Value,0,0,1,0,0,1,0,No And Wouldn't,Prefer One-Time,Rarely,2.0,Daily Ritual,Neutral,2.0,7.3,1,0,0,0,Maybe
SO_0031,22-25,23.5,Mumbai,Working Professional,50k-1L,3.0,1-2 cups,1.5,1,1,0,0,0,Sweet & Creamy,1,0,0,0,0,6-12 months,3,Cold Brew,1,1,1,0,1,0,0,Cold Brew|Hot Brew Bags|Instant Coffee|RTD Bottles,4,Monthly,3,0,0,0,1,0,1,876.0,25-50%,Fair Value,1,1,1,0,0,0,0,No And Wouldn't,Prefer One-Time,Occasionally,3.0,Still Exploring,Not Health-Conscious,1.0,6.3,0,1,0,0,Yes
SO_0032,18-21,19.5,Bengaluru,Student,25k-50k,2.0,3-4 cups,3.5,0,1,0,1,0,Strong & Bold,1,1,0,0,1,2+ years,5,Hot Brew Bags,0,1,0,0,0,0,0,Hot Brew Bags,1,Every 2-3 months,2,0,1,0,1,0,1,495.0,25-50%,Overpriced,1,0,1,0,0,0,1,No But Would,Interested,Almost Always,4.0,Social Experience,Very Health-Conscious,5.0,7.5,1,0,0,0,Maybe
SO_0033,18-21,19.5,Bengaluru,Student,1L-2L,4.0,1-2 cups,1.5,0,1,0,0,0,Light & Fruity,1,1,0,0,0,6-12 months,3,Cold Brew,1,0,0,0,0,1,0,Cold Brew|Subscription Box,2,2-3x/month,4,0,0,0,1,0,1,850.0,<25%,Fair Value,1,1,0,0,0,0,0,Yes - Once/Twice,Currently Subscribed,Actively Ignore,1.0,Daily Ritual,Somewhat Health-Conscious,3.0,5.8,0,0,1,1,No
SO_0034,31-35,33.0,Other,Other,25k-50k,2.0,<1 cup,0.5,0,1,1,0,0,Smooth & Balanced,0,1,1,1,0,6-12 months,3,Cold Brew,1,1,1,0,0,0,1,Cold Brew|Hot Brew Bags|Instant Coffee|Merchandise,4,2-3x/month,4,0,0,0,0,0,1,784.0,<25%,Fair Value,0,1,0,1,0,0,0,No But Would,Prefer One-Time,Rarely,2.0,Still Exploring,Very Health-Conscious,3.0,6.6,0,1,0,0,Yes
SO_0035,36+,37.0,Hyderabad,Student,50k-1L,3.0,3-4 cups,3.5,0,1,0,0,0,Strong & Bold,0,1,0,0,0,1-2 years,4,Cold Brew,1,1,1,0,0,0,0,Cold Brew|Hot Brew Bags|Instant Coffee,3,Weekly+,5,1,1,0,0,1,1,957.0,<25%,Overpriced,0,1,0,0,1,0,0,No And Wouldn't,Prefer One-Time,Almost Always,4.0,Social Experience,Somewhat Health-Conscious,3.0,7.6,0,0,0,0,Yes
SO_0036,26-30,28.0,Delhi/NCR,Other,25k-50k,2.0,<1 cup,0.5,1,1,0,0,0,Sweet & Creamy,1,0,0,0,0,3-6 months,2,Cold Brew,1,0,0,0,0,0,0,Cold Brew,1,Monthly,3,1,0,0,0,0,1,558.0,51-75%,Excellent Value,1,0,0,0,0,0,1,Yes - Multiple Times,Currently Subscribed,Actively Ignore,1.0,Social Experience,Somewhat Health-Conscious,3.0,4.8,1,0,1,1,Maybe
SO_0037,22-25,23.5,Mumbai,Other,50k-1L,3.0,1-2 cups,1.5,0,1,1,0,0,Smooth & Balanced,1,1,1,0,0,3-6 months,2,Cold Brew,1,0,0,0,0,0,0,Cold Brew,1,2-3x/month,4,0,1,0,0,0,0,884.0,25-50%,Fair Value,1,1,0,0,0,0,1,No And Wouldn't,Prefer One-Time,Occasionally,3.0,Daily Ritual,Neutral,2.0,5.5,1,0,0,0,Maybe
SO_0038,18-21,19.5,Mumbai,Self-Employed/Freelancer,1L-2L,4.0,3-4 cups,3.5,1,0,0,0,0,Strong & Bold,1,1,1,0,1,1-2 years,4,Instant Coffee,1,1,1,1,0,0,1,Cold Brew|Hot Brew Bags|Instant Coffee|Ground Coffee|Merchandise,5,Weekly+,5,0,0,1,1,1,1,1255.0,<25%,Fair Value,0,1,0,0,1,0,1,Yes - Once/Twice,Was Subscribed/Cancelled,Occasionally,5.0,Social Experience,Neutral,2.0,8.3,0,1,1,0,No
SO_0039,26-30,28.0,Delhi/NCR,Working Professional,Below 25k,1.0,1-2 cups,1.5,0,1,0,0,0,Sweet & Creamy,1,1,1,0,1,3-6 months,2,Hot Brew Bags,0,1,0,0,0,0,0,Hot Brew Bags,1,Rarely,1,0,0,0,0,1,0,262.0,>75%,Fair Value,0,0,1,1,1,0,0,Yes - Once/Twice,Prefer One-Time,Almost Always,4.0,Daily Ritual,Not Health-Conscious,1.0,6.2,1,0,1,0,Maybe
SO_0040,22-25,23.5,Delhi/NCR,Working Professional,1L-2L,4.0,5+ cups,5.5,1,1,1,0,0,Strong & Bold,1,0,0,0,1,<3 months,1,Cold Brew,1,0,0,0,0,0,0,Cold Brew,1,Every 2-3 months,2,0,1,0,0,0,0,972.0,25-50%,Fair Value,1,1,1,0,0,0,0,No But Would,Prefer One-Time,Rarely,2.0,Daily Ritual,Somewhat Health-Conscious,1.0,3.4,1,0,0,0,Maybe
SO_0041,18-21,19.5,Pune,Self-Employed/Freelancer,50k-1L,3.0,5+ cups,5.5,0,0,1,1,0,Strong & Bold,0,1,1,1,0,<3 months,1,Instant Coffee,1,1,1,1,0,0,0,Cold Brew|Hot Brew Bags|Instant Coffee|Ground Coffee,4,Monthly,3,0,1,1,1,1,0,1078.0,25-50%,Fair Value,0,0,1,0,1,0,1,No And Wouldn't,Currently Subscribed,Actively Ignore,1.0,Purely Functional,Very Health-Conscious,4.0,3.5,0,1,0,1,No
SO_0042,22-25,23.5,Bengaluru,Student,Below 25k,1.0,1-2 cups,1.5,1,1,1,0,0,Sweet & Creamy,1,1,1,0,1,1-2 years,4,Instant Coffee,1,1,1,1,0,1,1,Cold Brew|Hot Brew Bags|Instant Coffee|Ground Coffee|Subscription Box|Merchandise,6,Every 2-3 months,2,0,0,0,0,0,1,765.0,<25%,Fair Value,1,1,1,0,0,0,0,Yes - Once/Twice,Prefer One-Time,Occasionally,3.0,Daily Ritual,Neutral,2.0,5.2,0,1,1,0,No
SO_0043,18-21,19.5,Bengaluru,Working Professional,25k-50k,2.0,<1 cup,0.5,1,0,0,1,0,Light & Fruity,1,0,1,0,0,1-2 years,4,Ground Coffee,0,0,0,1,0,0,0,Ground Coffee,1,Monthly,3,0,0,0,0,0,1,303.0,51-75%,Overpriced,1,0,0,1,0,1,0,Yes - Once/Twice,Prefer One-Time,Occasionally,1.0,Still Exploring,Neutral,2.0,7.6,1,0,1,0,Maybe
SO_0044,31-35,33.0,Mumbai,Working Professional,25k-50k,2.0,3-4 cups,3.5,0,1,1,0,1,Smooth & Balanced,1,1,0,0,0,6-12 months,3,Hot Brew Bags,0,1,0,0,1,0,0,Hot Brew Bags|RTD Bottles,2,2-3x/month,4,1,0,0,1,0,0,740.0,25-50%,Excellent Value,1,0,0,0,1,0,1,No And Wouldn't,Prefer One-Time,Occasionally,1.0,Coffee Enthusiast,Very Health-Conscious,4.0,5.7,0,0,0,0,Yes
SO_0045,18-21,19.5,Pune,Working Professional,50k-1L,3.0,1-2 cups,1.5,0,0,1,0,0,Strong & Bold,0,1,0,0,0,2+ years,5,Subscription Box,0,0,0,0,0,1,0,Subscription Box,1,Monthly,3,0,1,1,1,0,0,648.0,<25%,Slightly Overpriced,1,0,0,1,0,0,0,No And Wouldn't,Currently Subscribed,Occasionally,3.0,Social Experience,Neutral,2.0,6.4,1,0,0,1,Yes
SO_0046,26-30,28.0,Chennai,Working Professional,1L-2L,3.0,<1 cup,0.5,0,1,1,0,0,Sweet & Creamy,1,1,0,1,0,6-12 months,3,RTD Bottles,1,1,1,1,1,0,0,Cold Brew|Hot Brew Bags|Instant Coffee|Ground Coffee|RTD Bottles,5,Every 2-3 months,2,1,0,0,1,0,0,872.0,>75%,Excellent Value,1,0,0,1,1,0,0,Yes - Multiple Times,Currently Subscribed,Rarely,2.0,Daily Ritual,Somewhat Health-Conscious,3.0,5.9,0,1,1,1,Yes
SO_0047,22-25,23.5,Mumbai,Working Professional,Below 25k,1.0,3-4 cups,3.5,1,1,1,0,0,Smooth & Balanced,1,1,0,0,1,1-2 years,4,Hot Brew Bags,0,1,0,0,0,0,0,Hot Brew Bags,1,2-3x/month,4,0,1,1,0,1,0,710.0,51-75%,Fair Value,0,1,1,0,1,0,0,No But Would,Prefer One-Time,Almost Always,4.0,Purely Functional,Somewhat Health-Conscious,3.0,8.1,1,0,0,0,Maybe
SO_0048,22-25,23.5,Chennai,Working Professional,50k-1L,3.0,<1 cup,0.5,1,0,1,1,1,Strong & Bold,1,1,0,1,0,2+ years,5,Hot Brew Bags,0,1,0,0,0,0,0,Hot Brew Bags,1,2-3x/month,4,0,0,1,1,0,0,701.0,51-75%,Fair Value,1,1,0,0,0,0,0,No And Wouldn't,Interested,Occasionally,3.0,Social Experience,Neutral,2.0,9.8,1,0,0,0,Yes
SO_0049,22-25,23.5,Bengaluru,Self-Employed/Freelancer,1L-2L,4.0,3-4 cups,3.5,0,0,0,0,1,Smooth & Balanced,0,1,1,1,0,1-2 years,4,Cold Brew,1,1,1,0,1,0,1,Cold Brew|Hot Brew Bags|Instant Coffee|RTD Bottles|Merchandise,5,Monthly,3,0,0,1,0,0,0,986.0,<25%,Overpriced,1,0,0,0,0,0,0,No And Wouldn't,Prefer One-Time,Almost Always,4.0,Daily Ritual,Neutral,2.0,6.4,0,1,0,0,Yes
SO_0050,18-21,19.5,Mumbai,Student,Above 2L,5.0,1-2 cups,1.5,0,1,1,0,0,Sweet & Creamy,1,1,0,0,0,6-12 months,3,Instant Coffee,1,1,1,0,1,1,0,Cold Brew|Hot Brew Bags|Instant Coffee|RTD Bottles|Subscription Box,5,Monthly,3,0,1,1,1,0,0,1210.0,25-50%,Slightly Overpriced,0,0,1,1,1,0,0,No And Wouldn't,Prefer One-Time,Occasionally,3.0,Social Experience,Neutral,2.0,5.1,0,1,0,0,Maybe
SO_0051,36+,37.0,Bengaluru,Homemaker,50k-1L,3.0,1-2 cups,1.5,0,1,0,0,1,Smooth & Balanced,0,1,1,1,0,1-2 years,4,Instant Coffee,0,0,1,0,0,0,0,Instant Coffee,1,2-3x/month,4,1,1,1,1,0,1,784.0,51-75%,Fair Value,1,1,1,0,0,0,0,No And Wouldn't,Prefer One-Time,Almost Always,4.0,Still Exploring,Very Health-Conscious,4.0,9.0,1,0,0,0,Yes
SO_0052,26-30,28.0,Bengaluru,Working Professional,Above 2L,5.0,1-2 cups,1.5,1,1,1,0,0,Sweet & Creamy,1,1,0,0,0,6-12 months,3,RTD Bottles,0,1,1,0,1,0,1,Hot Brew Bags|Instant Coffee|RTD Bottles|Merchandise,4,Every 2-3 months,2,0,0,1,1,1,0,953.0,25-50%,Overpriced,1,0,0,0,0,0,0,Yes - Once/Twice,Interested,Rarely,2.0,Coffee Enthusiast,Somewhat Health-Conscious,3.0,5.0,0,1,1,0,Yes
